"seqnames","start","end","width","strand","no.cpgs","min_smoothed_fdr","Stouffer","HMFDR","Fisher","maxdiff","meandiff","overlapping.genes"
"chr5",170734312,170737396,3085,"*",14,2.10385242427912e-34,2.14347102406391e-31,2.80556538051284e-05,6.19084245003215e-32,0.220072276777011,0.103491167439997,"TLX3"
"chr10",133484592,133484990,399,"*",6,4.07369815520925e-34,1.66986175445597e-29,1.67989205473494e-05,2.88349197603594e-27,0.254279723630289,0.19275279497936,NA
"chr10",22633916,22635028,1113,"*",13,6.57017398593972e-34,1.43476614519569e-30,0.000109158877471429,1.85787583711634e-28,0.15156229282592,0.100324346312509,"SPAG6"
"chr1",91182128,91185441,3314,"*",23,4.11826318758203e-33,7.12604594483037e-34,6.1047317146405e-06,3.19091368792622e-35,0.200787928443597,0.0883097162721079,"BARHL2"
"chr1",153746211,153747551,1341,"*",5,5.59597531688034e-33,3.12732156245725e-18,5.09459243556146e-06,1.19666753237103e-20,0.245316268255222,0.158179159949004,"INTS3, SLC27A3"
"chr10",105036645,105038444,1800,"*",10,8.7646586037725e-33,8.72909015941962e-28,5.55921582089796e-06,1.12308210741762e-26,0.185036455357281,0.115743182887981,"INA"
"chr8",57357785,57359992,2208,"*",16,3.81644836052646e-32,3.07824995857248e-27,5.41926603640924e-05,4.0082994394867e-28,0.155210179793802,0.0796603854195133,"RP11-17A4.2, PENK"
"chr6",32973717,32977580,3864,"*",37,4.73579021443723e-32,5.12184783852883e-35,0.00021217400825717,4.33369493348033e-36,-0.223760259427152,-0.0817372483997771,"HLA-DOA"
"chr13",113613229,113614315,1087,"*",9,1.22547310558503e-31,8.54096389736535e-29,2.90619850470639e-05,6.92047202277847e-27,0.186644141426164,0.128752178260485,"MCF2L"
"chr6",31733619,31735443,1825,"*",17,2.67457598972599e-31,1.51002725113951e-19,0.000137969316503725,5.56167033718219e-23,0.150633395542307,0.0805398188769747,"VWA7"
"chr2",176986460,176988580,2121,"*",18,4.84988015450949e-31,7.56542418927525e-25,7.60177435848514e-05,1.18574295593687e-25,0.148764702744034,0.081881331668712,"HOXD9, HOXD-AS2"
"chr2",182542510,182550065,7556,"*",34,2.17573339601898e-30,5.36115563016916e-63,8.77967105238982e-05,1.28599846186921e-57,0.19790729054964,0.0896409527822851,"AC013733.3, CERKL, NEUROD1"
"chr6",33160450,33164457,4008,"*",39,3.695484215799e-30,3.65946578336851e-23,0.000116407287720445,1.34532254101861e-32,0.177894683024144,0.0616144317437766,"RXRB"
"chr1",2221807,2222674,868,"*",6,4.41535919876036e-30,1.49523748441999e-26,1.60687313164635e-05,1.53395101337118e-24,0.254337154650602,0.141622966433696,"SKI"
"chr7",27204005,27206237,2233,"*",19,4.71808187308861e-30,7.48178419623625e-24,0.000133839334858361,5.92932883428308e-24,0.183511543383608,0.0699722121172965,"HOXA9, RP1-170O19.20"
"chr11",70516558,70517411,854,"*",7,7.2775867650357e-30,5.61213754007096e-28,4.70842003931309e-05,1.97049711256003e-25,0.171381398620745,0.14491399073191,"SHANK2"
"chr1",3055699,3059820,4122,"*",24,8.41986348326912e-30,4.42276350089293e-36,5.65973268620464e-05,2.93434257085936e-37,-0.24342921542893,-0.117231477339007,"PRDM16"
"chr3",181441345,181445647,4303,"*",26,1.04168936781443e-29,5.92628826544345e-46,6.66194962869368e-05,2.12848804743544e-42,0.263267305224283,0.118643731392775,"SOX2-OT"
"chr8",55370192,55371829,1638,"*",13,1.25318179041369e-29,1.89366022487683e-26,5.46128015021891e-05,2.24350261662392e-24,0.159312419318175,0.0848268386529487,"SOX17"
"chr5",178367423,178368620,1198,"*",9,1.76373030019574e-29,4.48163236164191e-22,1.52670406119125e-05,1.7039933003182e-22,0.212677700807144,0.10392562896292,"ZNF454"
"chr6",160679178,160680851,1674,"*",11,2.16863852950895e-29,1.74929865323227e-27,5.38744979821188e-05,8.29338390211967e-26,-0.276056871191667,-0.161031464170432,"SLC22A2"
"chr11",43602000,43603991,1992,"*",10,4.30813629232281e-29,1.20029080228761e-21,1.86086512742116e-05,6.27962903286065e-22,0.20390279905448,0.0944133836842767,"HSD17B12, MIR129-2"
"chr1",154474108,154475688,1581,"*",11,6.95468005058436e-29,2.05401054435022e-14,1.57259712806255e-05,2.82221309169777e-18,0.208181668393717,0.0776425730846516,"TDRD10, SHE"
"chr3",170746029,170746586,558,"*",7,7.44317066378938e-29,1.34236600368049e-25,2.63010663312718e-05,1.08827589538977e-23,0.213003760996346,0.159561676817533,NA
"chr1",91189167,91192657,3491,"*",23,1.20801249875953e-28,3.65527307503955e-25,9.68608374110579e-05,2.94355691730665e-26,0.193705731479707,0.076129014360852,NA
"chr14",38067219,38069079,1861,"*",11,1.44087721552122e-28,1.64625965373293e-20,2.65957779638505e-05,1.68057946964258e-22,-0.0846749184472046,-0.0344482834849317,"TTC6, FOXA1"
"chr12",133065724,133066762,1039,"*",29,1.47510275616587e-28,7.51409443431663e-15,0.000388433222772382,4.58540407178246e-19,0.138434341068438,0.0392242724756231,"FBRSL1"
"chr4",165304259,165305815,1557,"*",14,2.26682756710308e-28,2.14347102406391e-31,8.12668685894516e-05,7.98164164768506e-28,-0.205614935407832,0.0698805252834899,"MARCH1"
"chr11",10715175,10716455,1281,"*",12,2.28824126844613e-28,5.36005202415264e-21,1.83998261755655e-05,2.4549749232633e-22,0.169629766193522,0.0764582378724107,"MRVI1"
"chr7",1753396,1753909,514,"*",6,2.89486385442502e-28,1.71588354071953e-24,1.24338048326406e-05,6.68912722935801e-23,-0.294847430876873,-0.198151379110332,"ELFN1"
"chr16",67977865,67979792,1928,"*",12,2.92707458088238e-28,1.71066680493425e-23,4.20422496631732e-05,1.4570870448764e-24,0.21864990726594,0.105046960850123,"LCAT, SLC12A4, CTC-479C5.17"
"chr6",31590674,31593323,2650,"*",23,4.06362550508722e-28,8.86524293195118e-20,6.18609553799092e-05,2.14826313123109e-23,0.184825837453399,0.0596430102424575,"PRRC2A, SNORA38"
"chr3",113251189,113252640,1452,"*",11,5.00737108791149e-28,1.9870070424825e-16,2.06960032032293e-05,5.42230984410803e-20,-0.109266879597591,-0.0231156054196274,"SIDT1"
"chr4",46994748,46996264,1517,"*",12,5.62590484867546e-28,7.43478286710733e-21,2.85109205451801e-05,6.5328090283934e-22,0.231302215804425,0.0815469268405699,"GABRB1, GABRA4"
"chr17",58498712,58499911,1200,"*",11,5.90735522177213e-28,3.67887269904253e-25,4.36997845604116e-05,5.92932883428308e-24,0.171608837862635,0.109630040980869,"C17orf64, USP32"
"chr8",23562918,23564717,1800,"*",11,6.42866354855335e-28,3.84724731427595e-28,5.72512686092948e-05,9.94611510705952e-26,0.215091199416458,0.127669299821366,"RP11-175E9.1, NKX2-6"
"chr3",10805956,10806569,614,"*",11,9.21907787683114e-28,1.67864447212011e-22,9.15288857074993e-05,4.9029371553503e-23,0.198280105403412,0.118220896675302,NA
"chr19",40731797,40732902,1106,"*",10,1.07142854365716e-27,8.50411023302229e-25,4.50975799853242e-05,2.58350394276548e-24,-0.151681479369308,-0.0541145697092732,"CNTD2"
"chr3",147124827,147131617,6791,"*",49,1.21690030701002e-27,4.94087643872492e-41,0.000129032857877908,1.06930137655321e-43,0.193049739900782,0.0720906777275602,"ZIC1"
"chr6",85472949,85474595,1647,"*",14,1.36747130880939e-27,1.95024982754153e-28,9.71278225589558e-05,1.62605349836161e-25,0.129100575085977,0.0767447430230309,"TBX18"
"chr6",28226094,28227482,1389,"*",11,1.39178948937889e-27,9.22308431276314e-25,4.35334725068079e-05,7.5535998565532e-24,-0.175650504515638,0.0655886117351621,"NKAPL, ZKSCAN4"
"chr2",241458886,241460664,1779,"*",9,2.46735338529573e-27,3.13109195917728e-25,4.53864092167676e-05,1.68587383596104e-24,0.1988389256678,0.130256405691572,"ANKMY1"
"chr1",13909522,13910796,1275,"*",16,2.53141843511502e-27,2.48413534586504e-22,9.17566132565506e-05,3.16928797195378e-22,0.135812272909511,0.0769412392351688,"PDPN"
"chr6",32134011,32138723,4713,"*",57,2.61990070215246e-27,7.92340403222351e-17,0.00228648670723832,1.03932765794993e-23,-0.234329377612265,-0.0302150024755106,"PPT2, PPT2-EGFL8, EGFL8, AGPAT1"
"chr1",67217673,67218505,833,"*",13,2.77531479071947e-27,1.00562552127199e-22,3.35677923633986e-05,2.08675654704003e-22,0.167165799018968,0.0957196524108221,"TCTEX1D1"
"chr6",10881782,10884314,2533,"*",15,4.03647077109086e-27,3.33517744210636e-31,7.79127973965131e-05,2.38844711365253e-29,0.174799816462751,0.120567436444023,"RP11-637O19.3, SYCP2L, RP11-637O19.2, GCM2"
"chr7",29519323,29519656,334,"*",6,5.05033676780092e-27,1.36488917136442e-23,2.15022331102445e-05,5.10877009686387e-22,0.191228596899856,0.126564659734551,"CHN2"
"chr3",147108843,147112096,3254,"*",20,5.13816580114799e-27,2.08261433299001e-34,1.83998261755655e-05,5.57664725233658e-37,0.185257216596772,0.104154382592338,"ZIC1, ZIC4"
"chr7",99690806,99691734,929,"*",10,5.90537280039429e-27,5.80023269943959e-27,5.39270450228495e-05,2.58350394276548e-24,0.153464584699479,0.110851980704407,"MCM7, MIR25, MIR93, MIR106B"
"chr12",22093960,22095477,1518,"*",9,1.0751820088756e-26,1.04556665155482e-26,2.63010663312718e-05,1.06763584908694e-24,0.267031553766496,0.132128978472901,"ABCC9"
"chr1",3146905,3148357,1453,"*",8,1.12664033206339e-26,7.5588104419084e-25,1.24338048326406e-05,2.28401090912522e-24,-0.287111780083318,-0.185986787177574,"PRDM16"
"chr16",66400320,66400599,280,"*",5,1.182042724396e-26,4.55325018065537e-23,1.75579167972594e-05,1.41896410060983e-21,0.219287276259595,0.197004135711753,"CDH5"
"chr7",27280914,27282987,2074,"*",19,1.26244208737746e-26,9.07645338290061e-20,8.52509168832669e-05,1.15742320671692e-20,0.165769416367035,0.0983936312177717,"EVX1, EVX1-AS"
"chr6",31845110,31848099,2990,"*",19,1.64046646504782e-26,3.58157460756231e-31,6.07136658279506e-05,7.25748018551791e-30,-0.211658159814769,-0.0998537667195461,"SLC44A4, EHMT2"
"chr2",43019484,43020682,1199,"*",12,1.88979037874647e-26,1.20356244652302e-29,6.48960371373907e-05,1.31042983259878e-26,0.1488807079977,0.107825260406881,"HAAO"
"chr1",182921660,182923215,1556,"*",12,2.56171463889269e-26,9.34382599872571e-17,5.55921582089796e-06,4.61939688662887e-20,0.296763086814974,0.0131823777973377,"SHCBP1L"
"chr1",112531263,112532085,823,"*",11,2.80289381160987e-26,3.06195273773123e-16,4.05038886387174e-05,2.95656661497736e-18,-0.13874878043589,-0.0471708127382709,"KCND3"
"chr1",205325859,205327054,1196,"*",8,4.75059387829925e-26,1.04194978389741e-24,5.29956111411176e-05,1.64209121553829e-22,0.18859746542461,0.108893539997834,"KLHDC8A"
"chr1",235813272,235814462,1191,"*",15,1.23133119164341e-25,8.11536755472718e-18,2.88982159227301e-05,9.7665685011559e-20,0.17961797509025,0.080542000307362,"GNG4"
"chr1",2936277,2940333,4057,"*",16,1.34608356302683e-25,1.56128166543716e-36,4.52280791236778e-05,4.81518124138813e-36,-0.276011576303125,-0.153699913068255,"ACTRT2"
"chr10",2815004,2815988,985,"*",6,1.52147649423671e-25,5.72995573029202e-21,1.24338048326406e-05,2.22153228243174e-20,-0.287755247887075,-0.198365964394771,NA
"chr6",29407979,29408666,688,"*",11,1.67587223028633e-25,1.2536480626945e-23,3.58353435607503e-05,1.22839731581791e-22,-0.214871221444921,-0.141409522226277,"OR10C1, OR11A1"
"chr5",87967728,87969330,1603,"*",12,2.02574825308463e-25,4.49911847709623e-22,1.63782048588778e-05,4.95676766925867e-21,0.233440928909621,0.10644228218442,"LINC00461"
"chr2",127413363,127415063,1701,"*",12,2.5241252415918e-25,6.18504545928741e-27,0.000111197754582665,1.35480892146364e-24,0.135743382983392,0.0919192868389739,"GYPC"
"chr1",207990895,207992548,1654,"*",12,3.05259616269725e-25,2.99980266957411e-19,2.30801583219808e-05,5.43229595995575e-20,-0.240353490039474,-0.131514814673462,"C1orf132"
"chr8",101117958,101118843,886,"*",6,3.59779111101e-25,9.57429032170995e-13,5.09459243556146e-06,1.27481026590607e-16,0.2057415443846,0.11063680126668,"RGS22"
"chr3",13113959,13115406,1448,"*",11,3.6113804797992e-25,7.53935250168765e-25,7.39917978781652e-05,4.02307008881764e-23,0.159846178102208,0.0960782859471743,"IQSEC1"
"chr8",142238452,142239323,872,"*",7,3.73221833795521e-25,5.63787816820139e-21,1.67989205473494e-05,3.87636734626778e-20,-0.231985891926825,-0.129349399085087,"SLC45A4"
"chr19",9473058,9474128,1071,"*",13,4.48820205257568e-25,9.61104981493272e-18,0.00023573630632884,1.31542909770935e-20,0.17256788332081,0.104637137227435,"ZNF559-ZNF177, ZNF177"
"chr11",113576693,113577528,836,"*",7,5.00779480371047e-25,1.0556051775835e-22,4.35334725068079e-05,5.51621483643335e-21,0.212924402982069,0.166103847787123,"TMPRSS5"
"chr6",26016674,26018602,1929,"*",14,9.39687327490154e-25,1.37131918994589e-26,0.000167210405660681,4.98158618851008e-25,0.21669189637314,0.113144934282589,"HIST1H1PS2, HIST1H1A"
"chr3",129692887,129694683,1797,"*",13,1.55191132997357e-24,5.72804195264695e-20,5.33435639654316e-05,2.56755077839084e-20,0.264394882193193,0.129870607236918,"TRH"
"chr20",36147197,36151683,4487,"*",46,1.63168385395786e-24,1.37274690497005e-20,0.000791381737007708,3.06252273528233e-24,-0.189076692813677,-0.0349737577098758,"NNAT, BLCAP"
"chr17",7832479,7833663,1185,"*",10,1.6355247694576e-24,6.94041888694234e-20,0.00010364942029653,3.00126579973184e-20,0.191383407877928,0.115852077314199,"KCNAB3, RP11-1099M24.7, TRAPPC1"
"chr2",102090371,102091656,1286,"*",13,1.81089502864975e-24,5.22076645319925e-13,9.38381207434817e-05,1.55848772718178e-17,0.152198523832878,0.0696578542964757,"RFX8"
"chr10",102588959,102590401,1443,"*",10,1.8386382828021e-24,6.1829141798148e-21,0.000116515304016197,3.30014316380952e-20,0.214602473557152,0.126635208637898,"PAX2"
"chr14",37123678,37128586,4909,"*",19,1.88545964629915e-24,3.38027773221844e-36,3.14967853281815e-05,1.30107235611673e-33,0.208285296379446,0.11928204672205,"PAX9, RP11-964E11.2"
"chr11",70557445,70557881,437,"*",5,3.18450086501973e-24,9.87079626735905e-22,2.844996640059e-05,5.01043749593643e-20,0.164155266996733,0.154793386663476,"SHANK2"
"chr5",145713698,145714533,836,"*",6,3.1866041437973e-24,5.60301320354227e-19,2.30253028441309e-05,7.81424478240218e-19,0.19594495347457,0.131889967976565,"RBM27, CTC-359M8.1"
"chr12",99548329,99549023,695,"*",7,3.20658898035487e-24,2.34142321911269e-20,4.74440194346301e-05,9.03606496588826e-20,0.198482186486904,0.138799769630859,"ANKS1B"
"chr1",159172620,159175211,2592,"*",10,3.50429701057535e-24,4.64220240002348e-27,4.98137719008563e-05,6.78628795837141e-25,-0.190479842692647,-0.102925440852718,"CADM3, DARC, CTA-134P22.2"
"chr11",105479843,105481988,2146,"*",16,3.89704908288523e-24,1.42505978402213e-22,0.000144366474520569,2.53572503425664e-21,0.143348180940298,0.0750669982379615,"GRIA4"
"chr6",31935801,31938533,2733,"*",37,4.10234259813312e-24,1.028021087785e-29,0.00132019824254714,1.89164862766356e-27,0.131541566586759,0.0593724328070733,"SKIV2L, DXO"
"chr2",176993017,176995088,2072,"*",18,4.6564782059753e-24,3.70209311929929e-25,0.000154313171805287,1.29366025187913e-22,0.139567582928283,0.0683175673902457,"HOXD8, HOXD-AS2"
"chr5",38257516,38259135,1620,"*",15,5.75331396333037e-24,2.16035268123035e-13,4.57511236296676e-05,4.59367797288018e-16,0.177078901542186,0.0394144281262395,"EGFLAM"
"chr1",2886654,2887080,427,"*",6,6.442828918008e-24,1.5301746159232e-22,5.46999856634261e-05,1.74677307863923e-20,-0.331384124907192,-0.222497829914931,NA
"chr2",96990549,96992044,1496,"*",9,6.57915038890493e-24,9.32709874085833e-20,9.70593112396389e-05,9.56782301291683e-20,0.213475916227819,0.115363934322038,"ITPRIPL1"
"chr19",35629275,35630474,1200,"*",12,6.97111640327472e-24,4.53680347143167e-24,0.000216806670569365,6.16265617324043e-22,0.130845188313196,0.0815506091106978,"FXYD1, CTD-2527I21.4, LGI4, AC020907.2"
"chr6",30094300,30095802,1503,"*",25,8.74414049261078e-24,8.97279516390762e-25,0.00156547620706326,2.29090300949676e-22,0.157758832595292,0.0722449614785895,NA
"chr3",8693706,8693859,154,"*",4,9.79035586096112e-24,4.05572798113134e-20,1.12177711823888e-05,7.73622624054735e-19,-0.189681550484548,-0.171900416449961,"SSUH2"
"chr17",80943851,80944193,343,"*",4,1.11315314749262e-23,1.39399839853102e-20,1.67726712208891e-05,3.51806643085367e-19,0.186076281806502,0.152199686155804,"B3GNTL1"
"chr1",214156203,214159203,3001,"*",15,1.1395218552396e-23,1.28037758628675e-14,1.84409706503473e-05,2.07062622082593e-17,-0.158728053545826,-0.0281042357271981,"PROX1, PROX1-AS1"
"chr1",166889789,166890644,856,"*",6,1.25937075673261e-23,1.72821864695061e-15,9.90538803688575e-06,1.61677166560502e-17,0.139541117331603,0.0971981692272575,"ILDR2"
"chr4",41881829,41883890,2062,"*",16,1.60858362956214e-23,4.24329481552527e-18,0.000223538346813991,2.74579297720057e-19,0.229140731216112,0.0753879859597768,"LINC00682"
"chr2",124782117,124783698,1582,"*",11,1.62840409182025e-23,2.95957365373449e-16,2.18523309136496e-05,3.87713233193018e-18,0.227931460719272,0.0985757413273412,"CNTNAP5, AC079154.1"
"chr10",88716646,88718317,1672,"*",8,2.13375077842425e-23,9.51923951137356e-10,6.7692479363722e-06,3.63370767248986e-13,0.201739269904933,0.0725041946677172,"MMRN2"
"chr20",57874942,57876201,1260,"*",11,2.4015538760671e-23,1.67416331588063e-19,6.49806917622791e-05,1.20909693793203e-19,0.180316640162746,0.0840419746273552,"EDN3"
"chr2",162279686,162281498,1813,"*",8,2.59813508678888e-23,4.11916926753115e-10,1.1874098565e-05,2.42990705377097e-14,0.213626661005493,0.0796453013469172,"TBR1, AC009487.5, SLC4A10, AC009487.4"
"chr10",103043991,103044950,960,"*",6,2.66558827214275e-23,7.72144429387035e-21,2.19814633140186e-05,5.94859776055273e-20,0.286125113711862,0.143863714553206,NA
"chr6",27235820,27236622,803,"*",7,2.6921467326609e-23,5.68293042086029e-09,2.00067273948578e-05,8.21073722958759e-15,0.23342101915154,0.113786929254508,"XXbac-BPGBPG24O18.1"
"chr11",70672365,70672986,622,"*",9,3.02076645421773e-23,6.10321437995493e-24,0.000157011317734803,3.78757643792841e-21,0.219200866400747,0.16113051842808,"SHANK2"
"chr12",4380271,4384890,4620,"*",46,3.08896913189462e-23,1.64228759211092e-34,0.000311005523652546,4.96749071879449e-33,0.100250687846967,0.0328560951421198,"CCND2, CCND2-AS1, CCND2-AS2"
"chr17",76220608,76220955,348,"*",5,3.25552520667828e-23,4.20128381085483e-21,2.59454152604743e-05,1.96694809058981e-19,0.223876905549245,0.164576659795219,"BIRC5, AC087645.1"
"chr11",120433996,120435915,1920,"*",7,3.57336899444274e-23,8.73151724021729e-12,1.49275993925763e-05,1.41967029981173e-16,0.270121966776743,0.12401468719747,"GRIK4"
"chr11",2291652,2293665,2014,"*",35,3.88163919549977e-23,1.94993000304675e-24,0.00246721905969056,4.02307008881764e-23,0.171045452364173,0.00753300966882854,"ASCL2"
"chr4",21949853,21951046,1194,"*",10,4.01310714385736e-23,4.94535121974128e-21,4.05557670382575e-05,1.30824071787336e-20,0.219140068246707,0.0964206854954114,"RP11-17E2.2, KCNIP4"
"chr2",177003280,177004998,1719,"*",9,4.13538408200437e-23,9.16870398923601e-21,3.41457102945091e-05,2.075658725826e-19,0.194212974884708,0.118475656865476,"HOXD3"
"chr13",79175611,79177895,2285,"*",11,4.55981015530198e-23,1.17503122008227e-27,0.00014823654377582,1.14678785183362e-24,0.161274593840573,0.0842911686086838,"RNF219-AS1, POU4F1"
"chr2",121624862,121625735,874,"*",6,4.55981015530198e-23,4.24569443575539e-13,1.83998261755655e-05,4.84604978570724e-16,0.197818312261647,0.099746486687784,"GLI2, RP11-297J22.1"
"chr7",2556962,2558431,1470,"*",9,4.73043681198037e-23,1.09445179296102e-22,0.000110758940363005,8.77191817256843e-21,0.166570493751235,0.10502188519435,"LFNG"
"chr12",130934883,130938144,3262,"*",12,4.92355321720983e-23,1.39399839853102e-20,1.86156121851325e-05,3.02389627945887e-23,-0.252126395695627,-0.139227156078155,"RIMBP2"
"chr5",134734559,134736506,1948,"*",16,5.46671306025628e-23,8.13539702236409e-15,0.000203920465645978,1.29445299100432e-16,0.223105519172621,0.0621422159239898,"CTC-203F4.2, H2AFY"
"chr2",176971304,176973835,2532,"*",16,8.27593368424921e-23,2.7761860515649e-16,0.000206591340063437,7.61497238347516e-19,0.155141188115227,0.0675079273447499,"HOXD11, AC009336.1, HOXD10"
"chr7",94284258,94287211,2954,"*",71,8.98888639526353e-23,7.87196353161412e-28,0.00516810921314875,2.52046717800931e-26,0.0934526066485872,0.00154492180278238,"PEG10, SGCE"
"chr14",37135384,37136391,1008,"*",7,9.20240823249494e-23,3.88661095531549e-16,2.35925770611422e-05,6.08661938397936e-17,0.216752783691068,0.12233026960843,"PAX9"
"chr8",70980488,70984437,3950,"*",18,1.0047744531306e-22,8.50411023302229e-25,7.96747826997582e-05,1.10217890246534e-25,0.189104402469102,0.0536665041418453,"PRDM14"
"chr1",53527412,53528612,1201,"*",9,1.1557804037853e-22,5.10379024753371e-17,2.06960032032293e-05,4.4483361718183e-18,0.132839672663427,0.0766076640298038,"PODN"
"chr1",21877322,21877781,460,"*",6,1.22904214086996e-22,2.97822035882541e-21,4.79003131194115e-05,2.04161753319141e-19,-0.201863309288561,-0.158461459474696,"ALPL"
"chr11",69706527,69707384,858,"*",7,1.22925883633159e-22,2.44382684009086e-12,1.69021222875199e-05,1.39344207046556e-16,-0.16069762099469,-0.0847587602259935,NA
"chr4",186434993,186436021,1029,"*",8,1.32893403263501e-22,3.78204689552144e-13,4.43055388262876e-05,1.29014955997571e-16,-0.241394724298675,-0.125375585632821,"PDLIM3"
"chr10",134598352,134601341,2990,"*",29,1.5197942222822e-22,5.40897747979216e-32,0.00012385991046802,1.59785342520916e-29,0.300829337410463,0.0794941339360096,"NKX6-2"
"chr7",8479893,8483710,3818,"*",13,1.65165207710334e-22,1.38958829943413e-31,6.65054188525347e-05,1.3151013883332e-28,0.209134978439418,0.142759645554523,"NXPH1"
